timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1565694688810,808,Users,200,OK,transaction 1-20,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,808,0,262
1565694688409,1209,Users,200,OK,transaction 1-12,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1209,0,687
1565694688560,1058,Users,200,OK,transaction 1-15,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1058,0,533
1565694688309,1309,Users,200,OK,transaction 1-10,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1309,0,785
1565694688760,858,Users,200,OK,transaction 1-19,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,858,0,336
1565694688060,1558,Users,200,OK,transaction 1-5,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1558,0,1037
1565694688459,1159,Users,200,OK,transaction 1-13,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1159,0,640
1565694688659,959,Users,200,OK,transaction 1-17,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,959,0,439
1565694687980,1638,Users,200,OK,transaction 1-1,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1638,0,1115
1565694689624,91,List Users,200,OK,transaction 1-17,text,true,,861,124,20,20,https://reqres.in/api/users/2,91,0,0
1565694689622,96,List Users,200,OK,transaction 1-19,text,true,,861,124,20,20,https://reqres.in/api/users/2,96,0,0
1565694689622,96,List Users,200,OK,transaction 1-20,text,true,,861,124,20,20,https://reqres.in/api/users/2,96,0,0
1565694689623,99,List Users,200,OK,transaction 1-10,text,true,,861,124,20,20,https://reqres.in/api/users/2,98,0,0
1565694689624,98,List Users,200,OK,transaction 1-15,text,true,,861,124,20,20,https://reqres.in/api/users/2,98,0,0
1565694689623,110,List Users,200,OK,transaction 1-12,text,true,,861,124,20,20,https://reqres.in/api/users/2,110,0,0
1565694689624,110,List Users,200,OK,transaction 1-1,text,true,,861,124,20,20,https://reqres.in/api/users/2,110,0,0
1565694688359,1375,Users,200,OK,transaction 1-11,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1375,0,713
1565694689623,114,List Users,200,OK,transaction 1-13,text,true,,861,124,20,20,https://reqres.in/api/users/2,114,0,0
1565694688511,1226,Users,200,OK,transaction 1-14,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1226,0,580
1565694688259,1478,Users,200,OK,transaction 1-9,text,true,,1233,130,20,20,https://reqres.in/api/users/?page=2,1478,0,833
1565694689622,117,List Users,200,OK,transaction 1-5,text,true,,861,124,20,20,https://reqres.in/api/users/2,117,0,0
1565694689738,20,List Users,200,OK,transaction 1-14,text,true,,861,124,20,20,https://reqres.in/api/users/2,20,0,0
1565694689736,22,List Users,200,OK,transaction 1-11,text,true,,861,124,20,20,https://reqres.in/api/users/2,22,0,0
1565694689738,21,List Users,200,OK,transaction 1-9,text,true,,861,124,20,20,https://reqres.in/api/users/2,21,0,0
1565694689719,85,Create User,201,Created,transaction 1-20,text,true,,614,219,20,20,https://reqres.in/api/users,85,0,0
1565694689719,86,Create User,201,Created,transaction 1-17,text,true,,614,219,20,20,https://reqres.in/api/users,85,0,0
1565694689723,82,Create User,201,Created,transaction 1-10,text,true,,614,219,20,20,https://reqres.in/api/users,81,0,0
1565694689734,69,Create User,201,Created,transaction 1-12,text,true,,614,219,20,20,https://reqres.in/api/users,69,0,0
